generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2140000,16,70.174,-3770.07,9.54184,0.236
2150000,12,55.0804,-3805.96,6.9504,0.201432
2160000,15,67.2004,-3776.98,5.85299,0.208
2170000,14,54.8634,-3772.13,7.88108,0.231
2180000,6,18.8018,-3838.73,3.61376,0.196
2190000,13,49.9699,-3773.21,9.10715,0.222
2200000,9,37.8706,-3826.06,5.22435,0.202571
2210000,14,56.7793,-3779.28,7.97794,0.208
2220000,13,55.6007,-3776.86,7.90857,0.194
2230000,10,41.2432,-3816.9,3.62704,0.185
2240000,13,55.7821,-3776.19,4.28779,0.2255
2250000,10,37.9702,-3820.52,2.88158,0.211545
2260000,10,41.4062,-3806.43,5.90764,0.216
2270000,13,56.9502,-3806.06,8.08815,0.230467
2280000,11,50.0999,-3820.82,3.11342,0.214
2290000,15,69.9009,-3778.74,6.49431,0.237
2300000,11,40.152,-3807.96,5.35364,0.21
2310000,8,30.5557,-3830.01,2.80723,0.186
2320000,10,42.5205,-3820.68,7.50769,0.211667
2330000,16,75.5076,-3779.61,7.23627,0.245
2340000,13,54.7294,-3819.31,6.69473,0.263
2350000,12,55.7898,-3789.91,5.28134,0.222
2360000,13,60.8825,-3782.79,5.47923,0.221
2370000,8,32.3837,-3831.91,3.82643,0.21568
2380000,8,36.3517,-3828.49,3.84631,0.233
2390000,14,63.3878,-3786.23,5.58798,0.233
2400000,7,30.0593,-3822.99,2.4011,0.167
2410000,13,55.3506,-3784.3,7.19248,0.241
2420000,14,59.4384,-3787.64,5.49275,0.223
2430000,14,55.7225,-3780.3,7.7323,0.239
2440000,10,44.4842,-3822.42,5.35161,0.20425
2450000,10,39.2841,-3821.69,4.13823,0.272286
2460000,9,39.1808,-3827.85,4.22553,0.184909
2470000,14,62.416,-3791.64,5.95128,0.240455
2480000,15,63.3599,-3777.87,11.0654,0.233
2490000,15,69.0548,-3777.3,7.77335,0.213
2500000,14,64.8444,-3779.23,7.56656,0.229
2510000,10,43.8396,-3830.12,4.60915,0.221878
2520000,7,25.3043,-3827.88,7.10579,0.2055
2530000,16,79.9727,-3780.46,8.55652,0.247
2540000,13,63.6752,-3784.66,6.36475,0.225
2550000,8,35.0784,-3829.58,6.13121,0.246583
2560000,7,32.1593,-3830.73,3.12226,0.17
2570000,14,66.5147,-3775.19,4.84222,0.229
2580000,15,68.601,-3780.41,6.62075,0.241
2590000,9,39.3771,-3831.16,3.59098,0.217182
2600000,7,32.6088,-3832.97,3.76795,0.16
2610000,12,48.7453,-3778.5,7.9783,0.216227
2620000,13,57.7426,-3775.51,5.71116,0.211
2630000,12,50.7438,-3780.48,6.69281,0.225
2640000,9,40.8998,-3823.99,3.52271,0.214
