generation,N_shifts,logPrior,logLik,eventRate,acceptRate
160400000,8,25.5633,-3821.34,2.92502,0.236
160410000,6,24.3533,-3832.96,3.97628,0.228
160420000,9,38.8135,-3807.61,4.54842,0.258
160430000,5,13.3816,-3834.49,3.43853,0.179
160440000,9,29.5328,-3801.61,3.72572,0.184
160450000,9,35.7596,-3814.9,5.03925,0.213
160460000,13,44.8285,-3805.88,10.0973,0.303
160470000,8,36.8834,-3818.11,3.59316,0.2458
160480000,10,29.2849,-3810.99,7.40914,0.244
160490000,9,33.1026,-3792.47,2.98148,0.223
160500000,8,28.4338,-3796.87,3.41659,0.183143
160510000,10,35.0301,-3804.87,5.45048,0.256364
160520000,7,30.701,-3829.3,4.9634,0.267
160530000,8,26.8406,-3816.41,6.18576,0.235
160540000,9,35.6842,-3807.36,5.16047,0.222857
160550000,7,24.5875,-3812.48,6.09421,0.227
160560000,5,16.563,-3833,3.40887,0.19
160570000,12,47.0475,-3786.23,3.95231,0.214
160580000,6,18.1165,-3825.42,6.48735,0.259667
160590000,13,49.0331,-3786.36,5.12812,0.2458
160600000,9,34.9798,-3815.89,5.10615,0.227
160610000,10,42.6756,-3796.99,5.12174,0.246
160620000,10,40.9028,-3800.42,5.6824,0.228
160630000,11,40.9938,-3797.96,6.82575,0.254
160640000,5,21.9673,-3834.38,2.8318,0.216
160650000,8,24.3601,-3812.09,5.42542,0.178
160660000,8,41.4861,-3830.05,3.1782,0.2895
160670000,9,45.6608,-3828.25,3.10895,0.279
160680000,8,29.5145,-3800.77,3.89138,0.186
160690000,8,34.1241,-3831.48,6.71127,0.245
160700000,5,15.9339,-3832.24,3.85213,0.187
160710000,7,28.538,-3825.7,3.27581,0.220167
160720000,9,33.5938,-3799.76,4.62539,0.189
160730000,5,19.709,-3836.31,1.90357,0.21
160740000,5,20.3368,-3833.06,1.4256,0.203
160750000,9,37.8184,-3799.69,3.99607,0.172
160760000,9,33.9002,-3798.92,4.19591,0.188
160770000,5,21.5757,-3834.72,3.05902,0.203
160780000,9,36.4825,-3802.16,5.31851,0.196
160790000,9,39.7703,-3804.77,5.91752,0.223
160800000,8,21.7879,-3821.48,3.04774,0.239
160810000,11,45.8479,-3808.05,9.22415,0.265
160820000,8,31.2976,-3796.2,4.41335,0.184
160830000,8,30.1747,-3796.71,5.41718,0.164
160840000,8,36.677,-3813.3,4.06967,0.234333
160850000,10,36.4676,-3819.28,2.77851,0.311
160860000,9,39.2561,-3816.48,2.32039,0.2514
160870000,7,29.0733,-3829.24,3.64673,0.248
160880000,8,28.1307,-3827.08,5.62277,0.238
160890000,5,17.6942,-3833.76,4.08831,0.235333
160900000,6,21.1661,-3833.28,2.2464,0.224
160910000,5,21.4787,-3838.4,4.10769,0.223
160920000,10,36.0495,-3794.84,5.34974,0.2155
160930000,6,23.1926,-3826.11,1.83472,0.194
160940000,10,34.8887,-3784.44,7.63762,0.225
160950000,10,41.9186,-3784.72,2.55436,0.201
160960000,9,33.1358,-3791.65,7.20945,0.219
160970000,11,47.8901,-3790.36,4.04544,0.263
160980000,6,24.3788,-3834.25,5.9719,0.234038
160990000,8,27.1549,-3824.07,3.37171,0.270167
161000000,6,24.1034,-3824.7,3.76904,0.211
161010000,9,36.9618,-3793.39,3.25548,0.164
161020000,7,30.9594,-3820.08,2.69816,0.216
161030000,8,35.8542,-3818.71,2.16104,0.231
161040000,9,32.1861,-3804.82,4.50337,0.206
161050000,8,32.7122,-3799.77,3.97707,0.180333
161060000,8,32.8133,-3797.96,3.51381,0.176556
161070000,6,21.9907,-3831.76,3.197,0.179
161080000,9,38.7603,-3793.74,3.44909,0.189
161090000,9,38.2824,-3817.16,3.20858,0.268
161100000,9,34.4716,-3792.58,5.7909,0.187
161110000,8,29.3603,-3796.26,5.43171,0.174
161120000,8,32.6578,-3811.81,5.48349,0.222444
161130000,14,61.2328,-3779.21,8.91022,0.265
161140000,7,25.4058,-3811.57,3.785,0.205
161150000,12,51.1261,-3798.93,6.29136,0.244
161160000,10,39.4217,-3797.73,5.99541,0.215
161170000,7,28.9461,-3827.16,5.34579,0.292167
161180000,9,33.5367,-3793.29,5.50607,0.20425
161190000,13,53.7972,-3796.83,5.88958,0.271
161200000,6,25.0629,-3825.46,3.93128,0.243212
161210000,11,46.3093,-3792.46,7.67597,0.23
161220000,9,33.5879,-3809.4,7.15203,0.229
161230000,8,26.2701,-3815.24,5.86387,0.228
161240000,9,33.8879,-3798.3,3.20629,0.159
161250000,8,30.1322,-3802.74,3.27405,0.214
161260000,7,27.5101,-3814.01,4.67051,0.247
161270000,9,35.6231,-3795.99,4.23278,0.199316
161280000,9,34.4177,-3807.27,4.24734,0.267
161290000,10,33.3032,-3799.16,5.47457,0.224
161300000,7,25.2402,-3830.73,5.50479,0.268
161310000,8,33.9191,-3820.33,3.28958,0.214
161320000,9,30.1596,-3804.92,6.95604,0.236
161330000,11,42.3993,-3809.76,4.8545,0.224667
161340000,8,27.316,-3813.29,5.09636,0.208
161350000,9,31.8994,-3803.88,5.66278,0.178
161360000,8,29.4747,-3804.4,4.65339,0.197
161370000,8,23.1571,-3820.4,5.05517,0.208
161380000,6,28.1239,-3841.59,3.95346,0.256833
161390000,9,28.6292,-3792.79,4.82338,0.191364
161400000,10,40.6281,-3811.27,4.78232,0.266
161410000,8,28.9673,-3810.5,3.84892,0.21275
161420000,7,29.7159,-3821.01,6.1841,0.221609
161430000,9,35.3336,-3808.64,4.6675,0.223
161440000,6,20.4493,-3832.05,2.99629,0.218
161450000,11,49.0317,-3809.54,4.60262,0.262
161460000,10,41.1017,-3812.58,5.68075,0.23925
161470000,10,39.8999,-3791.31,7.55048,0.23875
161480000,9,33.9677,-3813.26,8.73452,0.232091
161490000,12,48.7941,-3789.34,5.67259,0.231
161500000,11,40.7582,-3795.51,8.41378,0.242
161510000,11,54.9306,-3815.17,5.13582,0.318
161520000,8,30.2459,-3796.75,4.97402,0.166
161530000,9,36.4242,-3799.72,4.19947,0.199
