0.8395	
Oobius_primorskyensis_USNMENT01119387	CHAL	0.00645
Ooencyrtus_sp1_USNMENT01231161	CHAL	0.00645
Zaommoencyrtus_sp1_USNMENT01231139	CHAL	0.00645
Euryischomyia_sp_ANIC00102_0189	CHAL	0.00645
Promuscidea_sp_JRAS07754_0101	CHAL	0.00645
Eucharis_adscendens_JRAS07609_0189	CHAL	0.00645
Orasema_sp_JRAS03331_0101	CHAL	0.00645
Pseudometagea_sp_USNMENT01322060	CHAL	0.00645
Stilbula_cyniformis_JRAS06279_0199	CHAL	0.00645
Aprostocetus_prob_gala_USNMENT01322186	CHAL	0.00645
Elasmus_albizziae_USNMENT01322182	CHAL	0.00645
Entedon_ergias_USNMENT01322185	CHAL	0.00645
Euderus_sp_JRAS07829_0189	CHAL	0.00645
Euplectrus_sp_EX492	CHAL	0.00645
Leptocybe_invasa_USNMENT01339654	CHAL	0.00645
Ophelimus_sp_USNMENT01322529	CHAL	0.00645
Pnigalio_minio_USNMENT01322183	CHAL	0.00645
Tamarixia_radiata_USNMENT01339650	CHAL	0.00645
Anastatus_reduvii_USNMENT01322064	CHAL	0.00645
Balcha_indica_USNMENT01322062	CHAL	0.00645
Eupelmus_linearis_JRAS07601_0289	CHAL	0.00645
Eusandalum_sp_USNMENT01322070	CHAL	0.00645
Metapelma_sp_USNMENT01322173	CHAL	0.00645
Neanastatus_sp_JRAS07313_0489	CHAL	0.00645
Aiolomorphus_rhopaloides_USNMENT01322045	CHAL	0.00645
Aranedra_sp2_USNMENT01322392	CHAL	0.00645
Ausystole_sp_USNMENT01322399	CHAL	0.00645
Axima_zabriskiei_USNMENT01322046	CHAL	0.00645
Aximopsis_sp3_USNMENT01322404	CHAL	0.00645
Bephrata_sp_USNMENT01322396	CHAL	0.00645
Bephratoides_sp1_USNMENT01322049	CHAL	0.00645
Bruchodape_sp_USNMENT01322199	CHAL	0.00645
Bruchophagus_gibbus_USNMENT01339648	CHAL	0.00645
Bruchophagus_squamea_USNMENT01322377	CHAL	0.00645
Cathilaria_opuntiae_USNMENT01322360	CHAL	0.00645
Chryseida_sp6_USNMENT01339649	CHAL	0.00645
Eurytoma_fumipennis_USNMENT01322362	CHAL	0.00645
Eurytoma_n_sp_guadeloupe_USNMENT01322395	CHAL	0.00645
Eurytoma_obtusiventris_USNMENT01339653	CHAL	0.00645
Eurytoma_sp1_USNMENT01322063	CHAL	0.00645
Foutsia_philodendri_USNMENT01322394	CHAL	0.00645
Gatesina_colombiana_USNMENT01322373	CHAL	0.00645
Heimbra_opaca_USNMENT01339599	CHAL	0.00645
Heimbrella_sp_USNMENT01322371	CHAL	0.00645
Isosomodes_parkeri_USNMENT01322054	CHAL	0.00645
Khamul_erwini_USNMENT01322370	CHAL	0.00645
Macrorileya_nsp_USNMENT01339600	CHAL	0.00645
Macrorileya_oecanthi_USNMENT01322367	CHAL	0.00645
Neorileya_flavipes_USNMENT01322369	CHAL	0.00645
Paradecatoma_sp_USNMENT01322415	CHAL	0.00645
Philolema_latrodecti_USNMENT01322374	CHAL	0.00645
Phylloxeroxenus_sp_USNMENT01322207	CHAL	0.00645
Prodecatoma_cooki_USNMENT01339596	CHAL	0.00645
Prodecatomidea_sp_USNMENT01339601	CHAL	0.00645
Rileya_grisselli_USNMENT01339595	CHAL	0.00645
Sycophila_nsp_USNMENT01322053	CHAL	0.00645
Systole_sp_prob_albipennis_USNMENT01322069	CHAL	0.00645
Tenuipetiolus_ruber_USNMENT01322382	CHAL	0.00645
Tetramesa_romana_USNMENT01322405	CHAL	0.00645
Leucospis_affinis_USNMENT01322176	CHAL	0.00645
Bootanomyia_stigmatizans_GDEL03057_0101	CHAL	0.00645
Chromeurytoma_sp_ANIC00037_0189	CHAL	0.00645
Megastigmus_transvaalensis_USNMENT01322090	CHAL	0.00645
Ormyrus_salmanticus_JRAS06480_1789	CHAL	0.00645
Ormyrus_sp1_USNMENT01322082	CHAL	0.00645
Aperilampus_sp_JRAS07798_0101	CHAL	0.00645
Chrysolampus_sp_ANIC00035_0189	CHAL	0.00645
Monacon_sp_JRAS07775_0189	CHAL	0.00645
Perilampus_hyalinus_USNMENT01322083	CHAL	0.00645
Steffanolampus_sp_USNMENT01322084	CHAL	0.00645
Anidarnes_nsp_JRAS06087_0389	CHAL	0.00645
Asaphes_vulgaris_JRAS07609_0389	CHAL	0.00645
Ausasaphes_sp_USNMENT01322072	CHAL	0.00645
Cea_pulicaris_JRAS07600_0189	CHAL	0.00645
Chalcedectus_sp_USNMENT01322096	CHAL	0.00645
Cleonymus_sp_JRAS07458_0689	CHAL	0.00645
Coelocyboides_sp_USNMENT01322071	CHAL	0.00645
Colotrechnus_ignotus_USNMENT01322101	CHAL	0.00645
Dipara_sp_JRAS07460_0289	CHAL	0.00645
Erotolepsia_sp01_JRAS07552_0589	CHAL	0.00645
Eunotus_acutatus_JRAS07602_1001	CHAL	0.00645
Eutrichosoma_mirabile_USNMENT01322104	CHAL	0.00645
Halticoptera_patellana_JRAS01314_1701	CHAL	0.00645
Herbertia_sp_JRAS07575_0189	CHAL	0.00645
Idarnes_incertus_JRAS06107_0389	CHAL	0.00645
Josephiella_microcarpae_JRAS06552_0189	CHAL	0.00645
Lelaps_sp_USNMENT01322099	CHAL	0.00645
Macroglenes_penetrans_USNMENT01322098	CHAL	0.00645
Nasonia_vitripennis_USNMENT01322105	CHAL	0.00645
Neosycophila_sp_JRAS06679_0289	CHAL	0.00645
Oglobinisca_sp_JRAS07790_0201	CHAL	0.00645
Oodera_sp_USNMENT01322179	CHAL	0.00645
Otitesella_ako_JRAS02384_0398	CHAL	0.00645
Perilampella_sp_ANIC00063_0189	CHAL	0.00645
Philotrypesis_sp_JRAS05463_0289	CHAL	0.00645
Pteromalus_puparum_USNMENT01322091	CHAL	0.00645
